word,count
tuer,346.18
passer,345.68
hommes,342.44
chercher,341.01
trouvé,339.29
grand,338.27
quelques,337.35
chance,334.02
tout,330.6
idée,330.39
trouver,324.94
reste,320.44
soit,319.65
mort,318.84
mal,318.27
yeux,315.89
sous,315.49
contre,313.71
pourrait,313.54
pendant,312.62
mois,312.31
dites,311.69
frère,311.45
serait,311.37
rester,310.38
sang,304.3
venez,304.03
part,299.31
passé,297.63
eux,295.35
histoire,295.32
heures,294.39
sommes,293.82
question,293.63
fini,292.55
avons,291.71
eau,290.61
longtemps,290.36
gars,289.63
demande,289.34
porte,288.39
hé,288.29
putain,287.83
enfant,287.26
main,286.62
sortir,285.45
trouve,284.45
belle,284.08
aurait,282.17
vont,281.35
beau,281.23
type,280.62
cas,280.59
place,280.54
seulement,279.25
ville,277.98
voici,277.59
leur,277.53
salut,277.35
terre,276.29
truc,274.94
police,274.31
suite,274.18
mettre,271.05
enfin,265.83
laissez,265.61
matin,265.03
chambre,263.93
là-bas,263.15
revoir,262.05
regardez,261.81
êtes,260.22
tué,259.79
papa,259.01
entendu,256.43
puis,256.19
mari,254.92
ensemble,253.47
mec,252.94
juste,252.71
amis,252.66
importe,251.39
peu,250.97
côté,250.51
corps,250.15
celui,250.13
autres,249.7
madame,249.32
parlé,248.94
loin,248.34
pourrais,247.9
prie,247.29
chaque,246.29
venu,244.7
train,244.4
leurs,243.56
laisser,243.13
femmes,242.75
sens,240.85
avons,237.78
car,237.2
savais,236.66
devrais,235.63
jeune,234.9
ok,234.89
mourir,234.74
donné,234.66
donner,233.3
attendez,230.66
excusez,230.25
mis,228.57
vers,227.77
aimerais,227.66
jouer,225.84
coeur,224.98
dernière,224.41
avant,224.38
hier,223.77
docteur,223.48
merde,221.46
genre,219.66
dont,219.21
vivre,218.52
perdu,217.23
feu,215.87
écoute,214.67
filles,213.97
cause,213.51
tiens,212.99
mains,212.97
demandé,212.89
guerre,212.82
façon,212.6
envie,210.62
plutôt,210.4
une,210.01
espère,209.19
pardon,209.13
devrait,208.85
devant,208.19
ainsi,207.68
manger,207.63
affaire,207.5
fin,207.34
aucune,207.0
merde,206.68
sois,205.19
salut,203.1
reste,203.1
arrivé,203.06
pays,202.57
ceux,202.02
pensais,199.51
boulot,198.68
souviens,198.3
grande,198.25
compris,198.16
minutes,197.45
première,197.34
étaient,197.09
école,197.04
endroit,196.75
film,195.1
voudrais,194.56
possible,193.91
après,193.68
font,193.61
désolé,193.51
peine,193.42
croire,193.37
désolé,193.29
appeler,192.69
voulait,192.15
voyez,191.63
personne,190.95
dirait,190.63
vérité,190.21
chef,189.79
demander,188.86
garçon,188.41
suffit,188.1
aura,187.56
penses,186.9
point,186.7
années,186.61
affaires,186.32
semaine,186.01
étais,184.97
bientôt,184.96
tellement,183.7
arriver,182.88
instant,182.14
voit,181.98
presque,181.81
fou,181.51
gros,180.91
dehors,180.79
tomber,180.25
vieux,180.08
prend,179.02
arrêter,178.62
partie,177.81
attendre,177.44
plaisir,177.4
parents,177.04
lit,176.1
aucun,175.78
droit,175.6
tour,175.56
d'abord,175.45
prenez,175.12
mot,174.83
arrêtez,174.12
attend,173.86
bébé,173.82
en,172.75
fort,171.91
qui,171.54
aide,171.41
fera,170.7
aimes,170.38
nouveau,170.28
prêt,170.23
musique,168.89
important,168.62
essaie,168.04
comment,167.22
rentrer,166.36
roi,166.34
journée,165.35
sinon,164.85
entends,163.49
reviens,163.19
faute,163.19
parti,162.93
confiance,162.88
croyais,162.56
numéro,162.08
cinq,161.96
vaut,161.53
bonsoir,161.16
dormir,160.77
entrer,160.13
sera,159.41
attention,159.1
chien,158.77
mariage,158.58
café,157.56
attention,156.9
jeu,156.79
bureau,156.68
sors,156.13
service,156.0
heureux,155.8
téléphone,155.68
messieurs,155.66
soeur,155.22
super,154.83
marche,154.71
verre,154.13
oublié,154.09
facile,153.57
lieu,153.12
parfois,152.86
route,152.83
nouvelle,152.78
croyez,152.54
parles,152.2
autant,152.16
mets,151.83
pensé,151.67
rentre,151.42
voulu,151.04
quatre,150.93
cherche,150.75
capitaine,150.59
âge,150.45
devez,150.16
bras,149.26
travaille,149.22
payer,149.1
pauvre,148.93
pensez,148.7
surtout,148.66
an,148.41
ira,148.34
travailler,147.84
seigneur,147.72
malade,147.5
depuis,147.19
puis,146.64
premier,146.12
ferai,146.11
cul,145.85
dur,145.55
paix,144.86
minute,144.83
exactement,144.62
appelé,144.29
dès,143.72
commence,143.51
cours,143.05
prison,142.97
veulent,142.38
ciel,142.22
boire,142.15
partout,141.94
ouvre,141.45
rendre,141.31
celle,141.28
serai,140.69
changer,140.5
penser,140.24
laissé,139.96
occupe,139.84
avis,139.22
compte,138.88
dernier,138.57
drôle,138.46
regarder,138.3
mauvais,138.04
fête,138.03
retour,138.02
entendre,137.9
état,136.81
ok,136.5
montrer,136.2
souvent,135.54
comprendre,135.24
difficile,135.15
faisait,134.9
essayer,134.69
pouvoir,134.56
grave,134.19
près,134.13
gentil,134.11
fous,133.75
sûrement,133.67
d'autres,133.34
peuvent,133.3
ceci,133.07
ordre,132.5
allait,132.04
petit,131.7
esprit,131.7
président,131.53
perdre,131.47
voix,130.83
cher,130.7
tôt,129.98
année,129.64
puis,129.11
semble,128.91
problèmes,128.87
ailleurs,128.74
écrit,128.35
voyons,127.93
ensuite,127.92
l'un,127.72
faim,127.49
rue,127.35
pas,127.06
honneur,126.78
prix,126.55
hôpital,126.08
retard,125.65
visage,125.52
connaissez,125.09
simple,124.57
vieux,124.54
face,124.33
oncle,124.11
essayé,124.02
allé,123.26
garder,123.09
joue,122.88
pouvais,122.61
photo,122.47
patron,122.44
impossible,122.32
âme,122.22
sûre,122.03
adore,121.69
bout,121.12
appris,120.98
parlez,120.79
soleil,120.72
propre,120.61
dollars,120.22
sale,120.13
aide,119.69
général,119.61
plan,119.54
maître,118.88
gueule,118.45
donnez,118.36
toute,118.32
dix,118.29
questions,118.19
équipe,118.0
rappelle,117.92
changé,117.83
autres,117.61
sens,117.57
six,117.37
bizarre,117.31
tue,116.46
cheveux,116.16
allô,116.05
lumière,116.02
rapport,115.57
bois,115.56
acheter,115.27
génial,115.27
propos,115.21
content,114.75
étiez,114.69
arme,114.4
devons,114.35
chemin,114.34
inquiète,114.06
tirer,113.71
amie,113.54
choix,113.35
petits,112.92
sécurité,112.69
livre,112.43
morte,112.36
médecin,112.35
voyage,112.19
excuse,111.82
table,111.44
dessus,111.19
salle,111.1
fallait,110.88
pièce,110.66
tiens,110.63
libre,110.36
ferais,110.19
fond,110.07
or,109.96
début,109.88
monte,109.76
pars,109.45
sommes,109.26
vue,109.21
fric,108.99
devait,108.88
euh,108.86
devenir,108.83
lettre,108.79
courant,108.69
allais,108.69
pieds,108.57
sauf,108.54
force,108.29
pouvait,108.02
sujet,107.92
hôtel,107.73
tire,107.25
bateau,106.55
nouveau,106.48
trucs,106.41
sac,105.96
camp,105.92
armes,105.82
personnes,105.79
peuple,105.65
avion,105.54
silence,105.53
restez,105.52
pied,105.51
revenir,105.46
complètement,105.33
derrière,105.1
calme,105.08
espèce,105.04
agit,105.02
entrez,104.85
semaines,104.84
oublie,104.78
mots,104.72
plein,104.57
cru,104.49
télé,104.35
jure,104.04
mange,103.81
doucement,103.81
connaît,103.42
tranquille,103.28
honte,103.26
sauver,103.1
colonel,102.86
commencé,102.62
soyez,102.17
passé,101.77
apprendre,101.76
jolie,101.54
situation,101.39
erreur,101.33
retrouver,100.9
soit,100.79
prochaine,100.44
dos,100.34
accident,100.11
message,99.7
meilleur,99.59
tenez,99.49
mer,99.49
rêve,99.39
effet,99.17
chérie,98.95
envoie,98.92
manque,98.77
froid,98.43
disais,98.37
sorte,98.33
désolée,98.22
cadeau,98.09
foutre,97.99
bordel,97.84
doute,97.51
occuper,97.22
oeil,97.13
scène,96.66
finir,96.48
compte,96.47
carte,96.11
pourtant,95.8
appelez,95.78
maintenant,95.61
ait,95.36
pareil,95.18
joli,94.55
soirée,94.36
calme,94.16
disait,94.0
armée,93.97
fasse,93.83
garde,93.72
premier,93.68
chacun,93.61
con,93.43
coin,93.43
venue,93.14
porte,93.05
triste,93.03
gagner,92.72
commencer,92.51
écoutez,92.46
agent,92.42
devenu,92.42
décidé,92.08
rendez-vous,91.95
touche,91.91
exemple,91.83
debout,91.81
FALSE,90.99
normal,90.98
aimer,90.44
puisse,90.37
préfère,90.34
groupe,90.16
bon,90.13
professeur,90.02
gagné,89.92
aille,89.81
absolument,89.79
intérieur,89.75
habitude,89.71
bien,89.61
lire,89.58
pouvoir,89.52
avocat,89.28
met,89.25
expliquer,89.21
plein,89.11
suppose,89.07
heureuse,88.71
connaître,88.63
santé,88.58
clair,88.54
t,88.47
disent,88.46
mauvaise,88.33
impression,88.3
quitter,88.02
millions,87.92
pute,87.91
sortez,87.79
bouche,87.75
village,87.6
diable,87.54
loi,87.37
auras,87.32
autour,87.02
serais,86.94
ferait,86.88
photos,86.63
dame,86.5
visite,86.34
disparu,86.21
enfer,86.02
flics,85.97
oublier,85.96
existe,85.86
faudra,85.73
monter,85.7
livres,85.69
grâce,85.61
bouge,85.45
mettez,85.44
montre,85.44
cheval,85.42
doivent,85.42
marcher,85.34
pourra,85.18
cuisine,85.08
simplement,84.76
ordres,84.75
dîner,84.73
vieille,84.59
vue,84.42
folle,84.38
écrire,84.14
rends,84.13
entre,84.08
peau,83.83
vraie,83.64
dangereux,83.48
ressemble,83.47
su,83.37
moi-même,83.25
pire,83.22
rend,82.91
promis,82.83
tenir,82.83
rencontrer,82.72
coucher,82.63
forme,82.61
envoyé,82.52
pourriez,82.51
sort,82.41
dirai,82.39
coups,82.33
continuer,82.29
pleine,82.13
lu,82.12
compris,82.12
pouvons,82.09
nouvelles,82.08
meurtre,81.94
crime,81.77
est,81.74
mme,81.64
seras,81.58
selon,81.4
a,81.36
secret,81.34
paraît,81.22
désolée,81.19
sorti,81.08
devais,81.01
sérieux,80.99
vin,80.92
appel,80.88
savait,80.85
tourne,80.72
partie,80.41
anniversaire,80.24
asseyez,80.07
lieutenant,80.05
mission,80.02
assieds,79.85
rouge,79.7
ferme,79.68
ouvrir,79.61
près,79.53
déteste,79.45
réponse,79.19
long,79.18
porter,79.04
volé,79.01
frères,78.94
bruit,78.94
aurai,78.85
être,78.78
magnifique,78.72
d'autres,78.71
verra,78.66
réussi,78.63
terminé,78.47
bonheur,78.34
tient,78.32
l,78.26
celui-là,78.13
morts,78.09
raconte,78.06
ait,78.06
emmène,77.85
rencontré,77.82
sympa,77.46
tais,77.46
imagine,77.33
balle,77.32
arrêté,77.28
retourne,77.27
bord,77.06
retourner,76.96
ignore,76.78
tiré,76.78
garde,76.76
danger,76.73
exact,76.66
continue,76.64
terrible,76.56
dedans,76.55
viennent,76.48
reçu,76.46
pitié,76.38
vivant,76.38
liberté,76.28
aimé,75.92
battre,75.92
devriez,75.83
faisais,75.81
conneries,75.75
surprise,75.62
trou,75.32
lâche,75.31
haut,75.22
intéresse,75.2
grand-père,75.19
nez,75.18
revoir,75.13
boîte,74.58
aurais,74.56
fleurs,74.56
vit,74.42
sent,74.27
moitié,74.25
vol,74.14
faudrait,74.08
devoir,74.06
là-dedans,74.0
mademoiselle,73.98
suivre,73.92
bas,73.86
partez,73.82
but,73.8
poser,73.73
meilleure,73.69
vendre,73.62
servir,73.55
ferme,73.53
derrière,73.39
écouter,73.13
sert,73.13
marché,72.73
robe,72.72
poste,72.64
mecs,72.61
journal,72.5
avenir,72.47
grand-mère,72.39
acheté,72.38
seconde,72.34
noir,72.2
irai,71.96
hors,71.94
cour,71.8
bas,71.78
gauche,71.66
aucun,71.6
vent,71.5
super,71.48
radio,71.31
bonnes,71.25
i,71.21
joie,71.07
parole,71.07
étrange,70.99
banque,70.79
courage,70.7
tante,70.69
grosse,70.63
classe,70.46
secours,70.36
n,70.36
emmener,70.34
connu,70.33
fenêtre,70.2
danser,70.06
trouves,70.05
m,69.91
laisse,69.88
joué,69.83
appartement,69.77
envoyer,69.77
devient,69.59
ligne,69.42
probablement,69.41
société,69.38
incroyable,69.22
parmi,69.17
bande,69.1
chéri,69.08
liste,69.07
compagnie,68.9
petite,68.89
comprenez,68.86
conseil,68.86
promets,68.81
clé,68.73
grand,68.73
croit,68.72
milieu,68.6
beauté,68.57
bière,68.55
bons,67.97
colère,67.91
voler,67.88
thé,67.84
change,67.83
là-haut,67.78
part,67.76
signe,67.74
lève,67.72
vacances,67.6
flic,67.53
jambes,67.51
prêts,67.39
départ,67.35
adresse,67.28
époque,67.23
vaisseau,67.11
appelles,67.07
plusieurs,66.98
laquelle,66.95
bon,66.93
tel,66.9
salaud,66.74
victime,66.47
tombe,66.39
prête,66.25
payé,66.22
héros,66.17
système,66.12
sept,66.07
apporte,65.97
art,65.93
douleur,65.78
avance,65.68
travers,65.6
différent,65.42
descendre,65.28
tas,65.28
certain,65.2
capable,65.15
présent,65.14
asseoir,65.1
pote,65.03
tort,64.89
aurait,64.61
histoires,64.6
petites,64.5
chanson,64.5
faisons,64.49
aidez,64.36
savent,64.32
j,64.31
papiers,64.19
ouvrez,64.17
inspecteur,64.12
inutile,64.05
marier,63.88
vouloir,63.87
dérange,63.69
cool,63.63
intérêt,63.63
réponds,63.59
contrôle,63.48
amoureux,63.41
passé,63.39
rire,63.29
seuls,63.29
revient,63.17
garçons,63.09
quitté,62.92
gosse,62.92
tombé,62.89
pain,62.81
trouvez,62.69
quelque,62.61
salope,62.54
protéger,62.53
descends,62.31
aimez,62.25
cinéma,62.23
jeunes,62.12
justement,62.08
contraire,62.03
club,61.99
utiliser,61.97
ennuis,61.89
été,61.8
sauvé,61.62
pleurer,61.6
présente,61.59
retrouve,61.54
ben,61.43
rôle,61.2
copain,61.14
chaussures,61.09
cacher,61.06
fiche,60.95
dents,60.94
e,60.91
preuve,60.79
seul,60.76
aurez,60.72
conduire,60.56
mangé,60.43
blague,60.33
église,60.2
pleure,60.17
bar,60.17
stupide,60.06
ennemi,59.98
gouvernement,59.82
amène,59.8
nature,59.8
serait,59.74
c,59.73
réveille,59.67
dimanche,59.67
lequel,59.66
contact,59.58
habite,59.55
grands,59.52
dommage,59.43
taxi,59.42
lait,59.41
idées,59.38
rêves,59.35
attendais,59.29
jeter,59.28
demande,59.26
félicitations,59.23
puisque,59.09
devant,59.06
langue,58.95
mur,58.9
calme,58.78
aie,58.62
sentir,58.48
huit,58.47
droite,58.44
lune,58.29
match,58.26
choisi,58.19
arrivent,58.12
glace,58.09
aimais,58.07
mesdames,58.03
sauter,57.89
épouser,57.87
raconter,57.79
répondre,57.76
chat,57.71
cerveau,57.67
directeur,57.65
vêtements,57.65
dirais,57.65
espoir,57.62
certains,57.58
films,57.56
marre,57.48
couleur,57.46
pose,57.41
importance,57.32
combat,57.31
revenu,57.3
dossier,57.2
beaux,57.2
horrible,57.16
o,57.07
ridicule,57.05
suivez,57.03
essaye,56.84
ouvert,56.83
signifie,56.66
mémoire,56.6
solution,56.46
quels,56.44
faîte,56.42
dégage,56.41
juge,56.4
immédiatement,56.35
papier,56.32
copine,56.28
reine,56.26
présenter,56.16
chante,56.16
empêcher,55.99
gamin,55.94
dépêche,55.9
fut,55.88
idiot,55.73
enlève,55.59
environ,55.55
prévu,55.54
expérience,55.52
to,55.48
manière,55.43
mille,55.43
occasion,55.39
étaient,55.3
planète,55.29
position,55.24
quartier,55.23
meilleur,55.22
certainement,55.16
dort,55.05
dors,55.03
soldats,54.96
dessus,54.77
pardon,54.7
d,54.68
sous-titrage,54.64
décision,54.63
vis,54.62
soin,54.45
apporté,54.44
merveilleux,54.44
avaient,54.37
commandant,54.31
riche,54.28
types,54.23
noir,54.22
mort,54.19
essayez,54.14
longue,54.12
mieux,54.12
soit,54.09
seront,54.06
sache,54.06
foi,54.06
mien,54.06
jardin,54.01
blanc,53.93
enquête,53.89
arrivera,53.86
né,53.72
éviter,53.71
client,53.63
poisson,53.61
paie,53.51
dise,53.46
centre,53.46
gagne,53.39
venus,53.34
chier,53.3
moyen,53.27
métier,53.22
bonne,53.18
pardonne,53.11
bu,53.1
toilettes,53.08
dingue,53.01
allée,52.93
viendra,52.92
passez,52.84
soldat,52.78
celle-là,52.63
parie,52.59
tueur,52.42
serez,52.41
attaque,52.39
regard,52.39
assis,52.34
arrivé,52.22
secondes,52.2
sur,52.19
maladie,52.18
réalité,52.15
offrir,52.06
regrette,51.99
magasin,51.97
prochain,51.95
dire,51.94
destin,51.93
fil,51.83
offre,51.81
formidable,51.79
dîner,51.78
demandez,51.74
ton,51.73
base,51.69
remercie,51.61
fout,51.51
différence,51.47
ramener,51.43
verras,51.34
image,51.34
bête,51.33
vécu,51.14
spectacle,51.14
couteau,51.08
tourner,51.05
touché,50.97
justice,50.96
contente,50.76
chiens,50.76
bus,50.63
humain,50.53
partons,50.52
bain,50.52
goût,50.51
dieux,50.49
respect,50.47
mienne,50.46
pont,50.45
sexe,50.44
discuter,50.43
demain,50.4
nord,50.38
retrouvé,50.38
déjeuner,50.32
aviez,50.3
entendu,50.28
idiot,50.27
venait,50.25
morts,50.22
chaud,50.2
île,50.2
détruire,50.12
camion,50.06
avaient,50.06
opération,50.01
action,49.97
travaillé,49.81
embrasse,49.81
aimait,49.57
sois,49.52
ramène,49.52
oubliez,49.48
toucher,49.43
clés,49.4
lorsque,49.36
témoin,49.35
belles,49.35
refuse,49.29
arbre,49.29
fou,49.28
chérie,49.2
réunion,49.17
malheur,49.16
terrain,49.12
blessé,49.12
quitte,49.07
folie,49.01
bravo,48.98
fous,48.96
fermer,48.85
cartes,48.84
anglais,48.81
telle,48.77
bombe,48.7
recherche,48.7
campagne,48.61
chapeau,48.61
défense,48.56
repas,48.53
vide,48.53
arranger,48.51
aiment,48.46
étions,48.46
monstre,48.42
certaines,48.41
rendu,48.31
dépend,48.3
permettez,48.28
perds,48.13
chanter,48.12
spécial,48.12
explique,48.02
lâchez,48.02
lettres,47.98
ange,47.9
savons,47.84
vus,47.81
réfléchir,47.59
appelait,47.44
arrière,47.39
menti,47.32
camarade,47.32
remarqué,47.2
drogue,47.2
pire,47.19
odeur,47.19
courir,47.19
in,47.17
choisir,47.09
continuez,47.08
intéressant,47.07
remettre,47.05
gosses,47.03
clients,47.03
voie,47.01
hasard,46.98
zone,46.97
danse,46.92
quelles,46.92
excellent,46.87
chasse,46.8
arrêt,46.8
rendez,46.77
preuves,46.75
auriez,46.75
moindre,46.74
enlever,46.74
public,46.72
préparer,46.71
pourrai,46.71
c,46.69
marche,46.61
lui-même,46.58
malgré,46.5
coupable,46.45
enceinte,46.41
règles,46.34
princesse,46.31
jambe,46.31
partis,46.29
parlons,46.28
découvert,46.22
mignon,46.14
ventre,46.07
fier,46.07
rappeler,46.03
risque,45.98
celui-ci,45.97
con,45.97
parfait,45.92
tirez,45.9
finalement,45.89
doigts,45.86
veuillez,45.84
sol,45.83
toi-même,45.83
shérif,45.75
pauvre,45.73
contrat,45.7
mlle,45.69
vérifier,45.69
prépare,45.54
gauche,45.51
parfaitement,45.48
niveau,45.46
portes,45.46
procès,45.41
superbe,45.32
répète,45.14
disons,45.13
entendez,45.11
presse,45.1
mets,45.09
compter,45.05
serais,45.02
plage,44.99
présence,44.95
machine,44.94
marché,44.87
passe,44.87
trésor,44.86
prince,44.83
cache,44.82
balles,44.75
douce,44.7
aviez,44.64
récupérer,44.59
nourriture,44.59
sers,44.58
samedi,44.51
sommeil,44.51
voudrait,44.48
conscience,44.46
volonté,44.41
parlait,44.37
stop,44.36
pourras,44.35
bouger,44.32
restaurant,44.29
nécessaire,44.29
meurt,44.29
rentré,44.27
appareil,44.2
projet,44.18
approche,44.17
programme,44.16
restes,44.15
bougez,44.09
relation,44.03
au-dessus,43.95
embrasser,43.91
montre,43.91
meurs,43.9
bête,43.85
code,43.85
frappé,43.83
vouliez,43.78
oiseau,43.78
viande,43.78
assure,43.77
amuser,43.77
deuxième,43.77
entrée,43.75
cou,43.71
chevaux,43.7
raisons,43.67
forces,43.67
certains,43.65
regardes,43.64
animaux,43.62
honnête,43.6
crise,43.51
usine,43.51
jette,43.48
resté,43.45
accepter,43.39
direction,43.25
même,43.18
un,43.17
assassin,43.17
unique,43.12
apparemment,43.08
cent,43.05
vu,43.03
excuser,43.01
piste,43.01
commissaire,42.99
cherchez,42.95
sort,42.92
feras,42.91
pluie,42.91
devoir,42.89
majesté,42.84
genoux,42.82
emmenez,42.79
discours,42.75
cassé,42.71
failli,42.7
grandes,42.68
toit,42.63
propres,42.63
sortie,42.58
prévenir,42.51
noms,42.5
forte,42.42
billets,42.4
gâteau,42.33
risque,42.32
bouteille,42.31
repos,42.29
rapide,42.28
régler,42.27
décider,42.27
baiser,42.25
énergie,42.18
entier,42.15
interdit,42.13
mens,42.12
épouse,41.98
foutu,41.96
lycée,41.96
arrivée,41.9
derniers,41.81
entend,41.77
parti,41.75
amoureuse,41.65
caméra,41.64
rejoindre,41.59
noire,41.57
moyen,41.56
billet,41.47
couper,41.45
gentille,41.44
voleur,41.39
comprend,41.39
occupé,41.37
frappe,41.37
espace,41.34
tombe,41.33
taille,41.32
casse,41.32
haut,41.32
regardé,41.29
dormi,41.25
couple,41.13
prouver,41.06
appartient,40.94
baiser,40.92
com,40.9
chère,40.8
os,40.77
crains,40.76
connard,40.7
responsable,40.66
morceau,40.65
ravi,40.64
s,40.59
pierre,40.58
larmes,40.56
voitures,40.53
château,40.51
théâtre,40.51
course,40.45
pièces,40.44
voulons,40.38
attendant,40.34
alcool,40.29
gare,40.28
passage,40.2
autrement,40.16
présent,40.09
intention,40.0
souhaite,39.98
perd,39.97
mérite,39.92
passera,39.92
amuse,39.85
doigt,39.83
achète,39.82
reposer,39.81
lis,39.81
horreur,39.79
falloir,39.78
miracle,39.78
victimes,39.78
heureusement,39.78
énorme,39.73
aura,39.72
échapper,39.72
démon,39.71
adieu,39.7
son,39.69
violence,39.66
seront,39.61
succès,39.58
tuée,39.56
étage,39.47
week-end,39.41
sérieusement,39.34
informations,39.3
cigarette,39.22
acte,39.19
nouveaux,39.17
gardez,39.17
désormais,39.13
réparer,39.13
miss,39.08
oreilles,39.08
chaud,39.06
costume,38.95
manqué,38.94
queue,38.93
sentiments,38.86
coûte,38.84
front,38.81
inquiétez,38.8
urgence,38.78
chaleur,38.77
celle-ci,38.71
points,38.62
remercier,38.6
dernier,38.54
là,38.53
minuit,38.47
attendu,38.45
accepte,38.41
nouvelles,38.37
prêtre,38.37
flingue,38.34
droit,38.33
s,38.31
journaux,38.3
retraite,38.3
proche,38.29
pourrez,38.28
prise,38.26
écris,38.24
arrivée,38.24
université,38.22
censé,38.22
ça,38.19
amené,38.14
ministre,38.1
champ,38.05
première,37.98
naissance,37.9
vitesse,37.89
nulle,37.84
doute,37.83
prendra,37.82
tableau,37.8
agréable,37.71
doux,37.66
bois,37.63
vendu,37.62
neige,37.52
agir,37.48
mètres,37.46
hiver,37.44
pensent,37.42
supplie,37.38
reconnais,37.36
chauffeur,37.35
rappelles,37.34
source,37.34
cousin,37.31
savoir,37.27
recevoir,37.2
découvrir,37.11
imaginer,37.09
frapper,37.08
salon,37.06
mentir,37.01
reprendre,36.98
attendent,36.95
entré,36.9
paquet,36.9
animal,36.89
sentiment,36.87
adieu,36.86
mine,36.84
million,36.78
montagne,36.76
souvenez,36.7
obtenir,36.7
réveiller,36.66
connaissance,36.6
défendre,36.58
servi,36.58
